City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Taltal,CL,57.36,overcast clouds,-25.4,-70.4833,Residencial Karime
6,Mar Del Plata,AR,51.82,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
8,Castro,BR,63.28,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
9,Port Lincoln,AU,64.92,clear sky,-34.7333,135.8667,Port Lincoln Hotel
11,Nenjiang,CN,54.37,scattered clouds,49.1833,125.2167,Nenjiang Apartment
17,Muros,ES,60.24,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
18,Jamestown,US,63.72,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
20,Mataura,NZ,52.48,light rain,-46.1927,168.8643,Ellie's Villa
25,Bluff,NZ,52.81,moderate rain,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
26,Huesca,ES,54.73,clear sky,42.1362,-0.4087,Hotel Sancho Abarca SPA Huesca
29,Hobart,AU,61.05,scattered clouds,-42.8794,147.3294,Mantra on Collins Hobart
30,Lagoa,PT,66.74,scattered clouds,39.05,-27.9833,Casa Das Faias
34,Cape Town,ZA,58.1,light rain,-33.9258,18.4232,Southern Sun Waterfront Cape Town
35,Flin Flon,CA,55.38,overcast clouds,54.7682,-101.865,Victoria Inn Flin Flon
36,Torbay,CA,61.57,broken clouds,47.6666,-52.7314,Gallows Cove
37,Mount Barker,AU,64.85,scattered clouds,-35.0667,138.8667,A Suite Spot in the Hills
42,Guerrero Negro,MX,69.55,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
44,Kodiak,US,50.67,clear sky,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
46,Quelimane,MZ,67.95,broken clouds,-17.8786,36.8883,Hotel Flamingo
51,Pisco,PE,60.85,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
52,Rawson,AR,51.78,clear sky,-43.3002,-65.1023,Hosteria Sampedro
55,Sitka,US,53.49,light rain,57.0531,-135.33,Westmark Sitka
57,Salas,ES,56.28,clear sky,43.4118,-6.2602,Hotel Castillo Valdes Salas
58,Busselton,AU,60.04,broken clouds,-33.65,115.3333,Observatory Guest House
62,Cahors,FR,54.9,scattered clouds,44.4167,1.3333,Les Gîtes du Colombier
66,Yongan,CN,59.05,light rain,39.6957,113.6871,Beiyue International Hotel
70,Port Alfred,ZA,59.65,broken clouds,-33.5906,26.891,The Halyards Hotel
73,Martinez,US,67.26,broken clouds,38.0194,-122.1341,Best Western John Muir Inn
77,Broken Hill,AU,67.71,clear sky,-31.95,141.4333,Royal Exchange Hotel
79,Mount Gambier,AU,55.31,overcast clouds,-37.8333,140.7667,The Commodore
84,Sturgeon Falls,CA,57.16,broken clouds,46.3646,-79.9326,Lincoln Motel
86,Lompoc,US,63.57,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
87,Chuy,UY,57.25,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
90,Puerto Ayora,EC,69.55,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
92,Maldonado,UY,58.39,clear sky,-34.6667,-54.9167,La Cimarrona
93,Berezovyy,RU,58.15,scattered clouds,51.6667,135.7,"Hotel ""Phoenix"""
100,Saint-Philippe,RE,67.55,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
103,Valparaiso,CL,51.44,clear sky,-33.0393,-71.6273,Hotel Ultramar
107,Horadiz,AZ,59.77,clear sky,39.4488,47.3353,Horadiz Olympic Center
113,Thompson,CA,55.56,broken clouds,55.7435,-97.8558,Burntwood Hotel
114,Narrabri,AU,68.09,clear sky,-30.3167,149.7833,Crossroads Hotel
115,Port Macquarie,AU,69.76,clear sky,-31.4333,152.9167,Rydges Port Macquarie
118,Shieli,KZ,64.69,clear sky,44.1667,66.75,Gostinitsa Aybek Shieli
121,Norman Wells,CA,51.84,broken clouds,65.282,-126.8329,Heritage Hotel
123,Severo-Kurilsk,RU,53.49,overcast clouds,50.6789,156.125,Kak Doma
127,Kisangani,CD,68.45,overcast clouds,0.5167,25.2,Grand Ramela Hotel
128,Port Elizabeth,ZA,61.09,clear sky,-33.918,25.5701,39 On Nile Guest House
129,Kaitangata,NZ,55.53,light rain,-46.2817,169.8464,Kaitangata Motor Camp
135,Wagga Wagga,AU,65.61,scattered clouds,-35.1167,147.3667,The Club Motel and Apartments
137,Santa Lucia,ES,65.52,scattered clouds,27.9117,-15.5407,Las Tirajanas
140,Cidreira,BR,63.73,few clouds,-30.1811,-50.2056,Hotel Castelo
141,Waipawa,NZ,52.45,scattered clouds,-41.4122,175.5153,Tora Coastal Walk
142,Esperance,AU,58.84,light rain,-33.8667,121.9,Hospitality Esperance
145,Sorland,NO,51.84,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
158,East London,ZA,59.88,light rain,-33.0153,27.9116,Tu Casa
165,Beyneu,KZ,55.29,clear sky,45.3167,55.2,NUR
169,Carballo,ES,57.9,broken clouds,43.213,-8.691,Pazo do Souto
172,Bezlyudivka,UA,55.83,broken clouds,49.8718,36.2952,White beach
174,New Norfolk,AU,60.71,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
175,Alihe,CN,57.13,clear sky,50.5667,123.7167,Alihe Forestry Hotel
176,Paita,PE,63.84,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
177,Riviere-Au-Renard,CA,53.6,overcast clouds,48.9957,-64.3971,Auberge Le Caribou
182,Garden City,US,66.45,few clouds,42.3256,-83.331,Quality Inn & Suites Banquet Center
183,Ribeira Grande,PT,68.02,broken clouds,38.5167,-28.7,Quinta da Meia Eira
184,Chumikan,RU,53.08,overcast clouds,54.7183,135.315,Fortuna
188,Khani,GE,53.17,scattered clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
190,Codrington,AU,53.06,light rain,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
192,Cerkezkoy,TR,59.18,clear sky,41.285,28.0003,City Hotel
196,Vestmannaeyjar,IS,50.4,few clouds,63.4427,-20.2734,Glamping & Camping
200,Hermanus,ZA,56.89,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
207,Dunedin,NZ,50.81,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
208,Bindura,ZW,55.02,clear sky,-17.3019,31.3306,Mayfair Lodges and Restaurant
209,Ilembula,TZ,57.06,few clouds,-8.9,34.5833,Lipangala Classic Lodge
212,Jaguaquara,BR,57.09,few clouds,-13.5306,-39.9708,Hotel Irmãos Vaz
223,Victor Harbor,AU,66.72,few clouds,-35.5667,138.6167,McCracken Country Club
225,Binga,ZW,69.24,scattered clouds,-17.6203,27.3414,Lakeview Inn Binga
231,Albania,AL,67.39,few clouds,41.0,20.0,Bora Homestay
232,Saldanha,ZA,57.25,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
238,Vestmanna,FO,52.72,overcast clouds,62.1564,-7.1664,Budget Guesthouse Borgustova
