City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Charlestown,AU,-32.95,151.6667,77.22,36,0,3.0,clear sky
1,Dikson,RU,73.5069,80.5464,34.39,74,12,25.37,few clouds
2,Ushuaia,AR,-54.8,-68.3,38.86,70,0,0.0,clear sky
3,Vaini,TO,-21.2,-175.2,71.76,94,75,14.97,light rain
4,Chokurdakh,RU,70.6333,147.9167,36.07,52,79,8.01,broken clouds
5,Taltal,CL,-25.4,-70.4833,57.36,81,100,1.1,overcast clouds
6,Mar Del Plata,AR,-38.0023,-57.5575,51.82,100,90,8.05,overcast clouds
7,Shankargarh,IN,25.1833,81.6167,84.31,70,3,4.83,clear sky
8,Castro,BR,-24.7911,-50.0119,63.28,88,40,2.44,scattered clouds
9,Port Lincoln,AU,-34.7333,135.8667,64.92,45,9,26.24,clear sky
10,Bilma,NE,18.6853,12.9164,84.92,17,65,8.66,broken clouds
11,Nenjiang,CN,49.1833,125.2167,54.37,67,35,5.1,scattered clouds
12,Albany,US,42.6001,-73.9662,67.68,77,68,4.43,broken clouds
13,Dingle,PH,10.9995,122.6711,85.84,71,26,1.74,scattered clouds
14,Hilo,US,19.7297,-155.09,78.24,81,21,1.99,few clouds
15,Macusani,PE,-14.0833,-70.4333,36.79,78,43,2.28,scattered clouds
16,Leningradskiy,RU,69.3833,178.4167,28.2,84,93,19.53,overcast clouds
17,Muros,ES,42.7762,-9.0603,60.24,94,58,4.36,broken clouds
18,Jamestown,US,42.097,-79.2353,63.72,88,1,5.75,clear sky
19,Carnarvon,AU,-24.8667,113.6333,71.67,43,0,16.11,clear sky
20,Mataura,NZ,-46.1927,168.8643,52.48,60,100,1.7,light rain
21,Ishigaki,JP,24.3448,124.1572,86.13,79,40,6.91,scattered clouds
22,Rikitea,PF,-23.1203,-134.9692,72.5,77,17,4.83,light rain
23,Nikolskoye,RU,59.7035,30.7861,37.29,85,100,6.73,overcast clouds
24,Jalalabad,AF,34.4265,70.4515,86.63,51,13,2.71,few clouds
25,Bluff,NZ,-46.6,168.3333,52.81,69,100,10.8,moderate rain
26,Huesca,ES,42.1362,-0.4087,54.73,82,0,6.91,clear sky
27,Bethel,US,41.3712,-73.414,73.71,84,38,8.28,scattered clouds
28,Lorengau,PG,-2.0226,147.2712,84.16,73,83,7.74,broken clouds
29,Hobart,AU,-42.8794,147.3294,61.05,59,40,7.0,scattered clouds
30,Lagoa,PT,39.05,-27.9833,66.74,64,41,10.42,scattered clouds
31,College,US,64.8569,-147.8028,44.55,57,75,5.75,broken clouds
32,Khatanga,RU,71.9667,102.5,35.83,58,5,15.77,clear sky
33,Constitucion,CL,-35.3333,-72.4167,48.81,77,17,12.55,few clouds
34,Cape Town,ZA,-33.9258,18.4232,58.1,81,75,5.99,light rain
35,Flin Flon,CA,54.7682,-101.865,55.38,67,88,6.87,overcast clouds
36,Torbay,CA,47.6666,-52.7314,61.57,91,75,19.57,broken clouds
37,Mount Barker,AU,-35.0667,138.8667,64.85,61,36,17.81,scattered clouds
38,Nanortalik,GL,60.1432,-45.2371,41.38,90,100,11.07,light rain
39,Ribeira Brava,PT,32.65,-17.0667,72.23,66,9,7.36,clear sky
40,Nargana,PA,9.4428,-78.5906,81.97,84,99,6.11,overcast clouds
41,Butaritari,KI,3.0707,172.7902,82.92,69,40,16.24,scattered clouds
42,Guerrero Negro,MX,27.9769,-114.0611,69.55,81,8,18.07,clear sky
43,Arraial Do Cabo,BR,-22.9661,-42.0278,70.21,90,7,6.98,clear sky
44,Kodiak,US,57.79,-152.4072,50.67,61,1,4.7,clear sky
45,Gorontalo,ID,0.5412,123.0595,83.55,72,100,5.14,overcast clouds
46,Quelimane,MZ,-17.8786,36.8883,67.95,94,75,6.91,broken clouds
47,Punta Arenas,CL,-53.15,-70.9167,37.51,87,0,9.22,clear sky
48,Alyangula,AU,-13.8483,136.4192,85.87,48,40,9.22,scattered clouds
